id,title,is_premium,difficulty,acceptance_rate,accepted,submissions,companies,related_topics,likes,dislikes,rating,asked_by_faang,topics_list,topic_count,companies_list,company_count,difficulty_score,estimated_time,problem_value,normalized_likes,normalized_topic_count,normalized_company_count,popularity_score
102,Binary Tree Level Order Traversal,0,Medium,57.0,809.8K,1.4M,"Bloomberg,Amazon,Facebook,Microsoft,LinkedIn,Adobe,Paypal,Google,Uber,Yahoo","Tree,Breadth-first Search",4482,104,98,1,"['Tree', 'Breadth-first Search']",2,"['Bloomberg', 'Amazon', 'Facebook', 'Microsoft', 'LinkedIn', 'Adobe', 'Paypal', 'Google', 'Uber']",9,2,20,61.7677286742035,0.2216946134441312,0.4,0.5625,0.4908473067220656
103,Binary Tree Zigzag Level Order Traversal,0,Medium,50.4,496.1K,984K,"Amazon,Microsoft,Bloomberg,Apple,Facebook,Qualtrics,eBay,Adobe,ByteDance,Google,Goldman Sachs,ServiceNow,Oracle","Stack,Tree,Breadth-first Search",3290,126,96,1,"['Stack', 'Tree', 'Breadth-first Search']",3,"['Amazon', 'Microsoft', 'Bloomberg', 'Apple', 'Facebook', 'Qualtrics', 'eBay', 'Adobe', 'ByteDance', 'Google', 'Goldman Sachs', 'Oracle']",12,2,20,58.067831449126416,0.16273433249245683,0.6,0.75,0.5013671662462285
121,Best Time to Buy and Sell Stock,0,Easy,51.8,1.3M,2.4M,"Amazon,Microsoft,Facebook,Apple,Adobe,Google,tcs,Bloomberg,eBay,Uber,ByteDance,Goldman Sachs,Expedia,VMware,Yahoo,Qualtrics,Oracle,ServiceNow,Visa,Samsung","Array,Dynamic Programming",8132,356,96,1,"['Array', 'Dynamic Programming']",2,"['Amazon', 'Microsoft', 'Facebook', 'Apple', 'Adobe', 'Google', 'Bloomberg', 'eBay', 'Uber', 'ByteDance', 'Goldman Sachs', 'Expedia', 'VMware', 'Qualtrics', 'Oracle']",15,1,10,56.423432682425485,0.4022357421971608,0.4,0.9375,0.5811178710985805
122,Best Time to Buy and Sell Stock II,0,Easy,58.8,804.1K,1.4M,"Amazon,Apple,tcs,Microsoft,Facebook,Uber","Array,Greedy",3950,1953,67,1,"['Array', 'Greedy']",2,"['Amazon', 'Apple', 'Microsoft', 'Facebook', 'Uber']",5,1,10,63.61767728674204,0.1953801256368403,0.4,0.3125,0.47769006281842014
146,LRU Cache,0,Medium,36.2,738.4K,2M,"Amazon,Microsoft,Facebook,Apple,Bloomberg,Intuit,Snapchat,eBay,ByteDance,Google,Oracle,Zillow,Capital One,Uber,Dropbox,Paypal,Twilio,Adobe,Walmart Labs,Goldman Sachs",Design,8181,334,96,1,['Design'],1,"['Amazon', 'Microsoft', 'Facebook', 'Apple', 'Bloomberg', 'Snapchat', 'eBay', 'ByteDance', 'Google', 'Oracle', 'Uber', 'Paypal', 'Adobe', 'Goldman Sachs']",14,2,20,37.30729701952724,0.4046594450215166,0.2,0.875,0.5423297225107583
173,Binary Search Tree Iterator,0,Medium,60.6,398.9K,658.2K,"Facebook,ByteDance,Microsoft,Bloomberg,Google,Oracle,Amazon,Apple,Adobe","Stack,Tree,Design",3575,316,92,1,"['Stack', 'Tree', 'Design']",3,"['Facebook', 'ByteDance', 'Microsoft', 'Bloomberg', 'Google', 'Oracle', 'Amazon', 'Apple', 'Adobe']",9,2,20,68.55087358684482,0.17683137953207698,0.6,0.5625,0.5084156897660385
200,Number of Islands,0,Medium,49.5,1M,2M,"Amazon,Bloomberg,Microsoft,Oracle,Facebook,Apple,Uber,Google,Yandex,DoorDash,Qualtrics,Snapchat,Citadel,Expedia,LinkedIn,eBay,Goldman Sachs,VMware,Splunk,Tesla","Depth-first Search,Breadth-first Search,Union Find",8105,241,97,1,"['Depth-first Search', 'Breadth-first Search', 'Union Find']",3,"['Amazon', 'Bloomberg', 'Microsoft', 'Oracle', 'Facebook', 'Apple', 'Uber', 'Google', 'Yandex', 'Qualtrics', 'Snapchat', 'Expedia', 'LinkedIn', 'eBay', 'Goldman Sachs', 'VMware']",16,2,20,57.14285714285715,0.40090023247761786,0.6,1.0,0.6204501162388089
206,Reverse Linked List,0,Easy,65.7,1.4M,2.1M,"Adobe,Amazon,Facebook,Apple,Microsoft,Qualcomm,Yandex,Google,Uber,Oracle,Bloomberg,IBM,Cisco,Goldman Sachs,ByteDance",Linked List,6702,129,98,1,['Linked List'],1,"['Adobe', 'Amazon', 'Facebook', 'Apple', 'Microsoft', 'Yandex', 'Google', 'Uber', 'Oracle', 'Bloomberg', 'Cisco', 'Goldman Sachs', 'ByteDance']",13,1,10,67.62589928057555,0.33150319038433,0.2,0.8125,0.5057515951921651
207,Course Schedule,0,Medium,44.3,566.7K,1.3M,"Amazon,Intuit,Facebook,Karat,Microsoft,ByteDance,Bloomberg,Google","Depth-first Search,Breadth-first Search,Graph,Topological Sort",5575,229,96,1,"['Depth-first Search', 'Breadth-first Search', 'Graph', 'Topological Sort']",4,"['Amazon', 'Facebook', 'Microsoft', 'ByteDance', 'Bloomberg', 'Google']",6,2,20,54.881808838643366,0.275758025424148,0.8,0.375,0.597879012712074
215,Kth Largest Element in an Array,0,Medium,58.9,869.2K,1.5M,"Facebook,Amazon,Walmart Labs,Apple,Microsoft,Bloomberg,ByteDance,LinkedIn,Adobe,Google,Spotify,Zillow","Divide and Conquer,Heap",5413,351,94,1,"['Divide and Conquer', 'Heap']",2,"['Facebook', 'Amazon', 'Apple', 'Microsoft', 'Bloomberg', 'ByteDance', 'LinkedIn', 'Adobe', 'Google']",9,2,20,63.72045220966085,0.2677449671068902,0.4,0.5625,0.5138724835534452
236,Lowest Common Ancestor of a Binary Tree,0,Medium,49.3,629.2K,1.3M,"Facebook,Microsoft,Amazon,Oracle,LinkedIn,Apple,Bloomberg,Intuit,Adobe,Google,Uber,Zillow,Palantir Technologies,Atlassian",Tree,5470,202,96,1,['Tree'],1,"['Facebook', 'Microsoft', 'Amazon', 'Oracle', 'LinkedIn', 'Apple', 'Bloomberg', 'Adobe', 'Google', 'Uber']",10,2,20,50.77081192189105,0.27056437651481424,0.2,0.625,0.4752821882574071
