day,id,title,difficulty,topics,companies,estimated_time,acceptance_rate,cumulative_time
12,1119,Remove Vowels from a String,Easy,['String'],['Amazon'],10,90.5,100
12,1165,Single-Row Keyboard,Easy,['String'],['Google'],10,85.4,110
12,1614,Maximum Nesting Depth of the Parentheses,Easy,['String'],"['Bloomberg', 'Facebook']",10,82.7,120
13,1662,Check If Two String Arrays are Equivalent,Easy,['String'],['Facebook'],10,82.6,10
13,709,To Lower Case,Easy,['String'],"['Google', 'Adobe', 'Apple']",10,80.2,20
13,657,Robot Return to Origin,Easy,['String'],"['Amazon', 'Goldman Sachs']",10,74.0,30
13,557,Reverse Words in a String III,Easy,['String'],"['Amazon', 'Bloomberg']",10,72.4,40
13,344,Reverse String,Easy,"['Two Pointers', 'String']","['Apple', 'Microsoft', 'Goldman Sachs', 'Amazon', 'Adobe', 'Bloomberg']",10,70.7,50
13,893,Groups of Special-Equivalent Strings,Easy,['String'],['Facebook'],10,69.6,60
13,1332,Remove Palindromic Subsequences,Easy,['String'],['Amazon'],10,68.3,70
13,929,Unique Email Addresses,Easy,['String'],['Google'],10,67.2,80
13,824,Goat Latin,Easy,['String'],['Facebook'],10,66.9,90
13,1408,String Matching in an Array,Easy,['String'],['Amazon'],10,63.7,100
13,293,Flip Game,Easy,['String'],['Google'],10,61.5,110
13,1790,Check if One String Swap Can Make Strings Equal,Easy,['String'],['Facebook'],10,60.8,120
14,521,Longest Uncommon Subsequence I,Easy,"['String', 'Brainteaser']",['Google'],10,59.1,10
14,1422,Maximum Score After Splitting a String,Easy,['String'],['Google'],10,57.5,20
14,788,Rotated Digits,Easy,['String'],['Google'],10,57.5,30
14,1417,Reformat The String,Easy,['String'],['Google'],10,56.6,40
14,1544,Make The String Great,Easy,"['String', 'Stack']",['Google'],10,55.5,50
14,387,First Unique Character in a String,Easy,"['Hash Table', 'String']","['Bloomberg', 'Goldman Sachs', 'Amazon', 'Facebook', 'Microsoft', 'Google', 'Apple', 'Adobe']",10,53.9,60
14,383,Ransom Note,Easy,['String'],"['Amazon', 'Microsoft']",10,53.5,70
14,1576,Replace All ?'s to Avoid Consecutive Repeating Characters,Easy,['String'],"['Microsoft', 'Google']",10,50.0,80
14,415,Add Strings,Easy,['String'],"['Facebook', 'Adobe', 'Google', 'Microsoft', 'Uber', 'Bloomberg', 'Amazon', 'Oracle']",10,48.5,90
14,345,Reverse Vowels of a String,Easy,"['Two Pointers', 'String']","['Facebook', 'Google', 'Amazon']",10,45.2,100
14,20,Valid Parentheses,Easy,"['String', 'Stack']","['Amazon', 'Bloomberg', 'Facebook', 'Apple', 'Microsoft', 'Expedia', 'Google', 'LinkedIn', 'Goldman Sachs', 'Oracle', 'Paypal', 'eBay', 'Adobe']",10,40.0,110
14,125,Valid Palindrome,Easy,"['Two Pointers', 'String']","['Facebook', 'Microsoft', 'Apple', 'Amazon', 'Yandex', 'Bloomberg', 'Oracle']",10,38.5,120
15,157,Read N Characters Given Read4,Easy,['String'],"['Facebook', 'Microsoft']",10,37.7,10
15,680,Valid Palindrome II,Easy,['String'],"['Facebook', 'Oracle', 'Microsoft', 'eBay']",10,37.1,20
15,14,Longest Common Prefix,Easy,['String'],"['Facebook', 'Adobe', 'Amazon', 'Apple', 'Bloomberg', 'Microsoft', 'Google']",10,36.2,30
15,22,Generate Parentheses,Medium,"['String', 'Backtracking']","['Microsoft', 'Facebook', 'Google', 'Bloomberg', 'Amazon', 'Apple', 'Adobe', 'ByteDance', 'Oracle']",20,65.7,50
15,1249,Minimum Remove to Make Valid Parentheses,Medium,"['String', 'Stack']","['Facebook', 'ByteDance', 'Bloomberg', 'Amazon', 'Goldman Sachs', 'LinkedIn', 'Apple']",20,64.2,70
15,647,Palindromic Substrings,Medium,"['String', 'Dynamic Programming']","['Facebook', 'Goldman Sachs', 'Expedia', 'Google', 'Twitter', 'Microsoft', 'Bloomberg']",20,62.7,90
15,49,Group Anagrams,Medium,"['Hash Table', 'String']","['Amazon', 'Microsoft', 'Goldman Sachs', 'Apple', 'Uber', 'eBay', 'VMware', 'Oracle', 'Yandex', 'Expedia', 'Facebook', 'Google', 'Bloomberg', 'Cisco', 'ByteDance']",20,59.7,110
16,767,Reorganize String,Medium,"['String', 'Heap', 'Greedy', 'Sort']","['Amazon', 'Google', 'Facebook', 'Microsoft', 'Uber', 'Goldman Sachs']",20,50.3,20
16,38,Count and Say,Medium,['String'],"['Bloomberg', 'Facebook', 'Amazon', 'Microsoft', 'Apple']",20,46.3,40
16,443,String Compression,Medium,['String'],"['Goldman Sachs', 'Yandex', 'Microsoft', 'Apple', 'Facebook', 'Amazon', 'eBay', 'Google', 'VMware', 'Cisco']",20,44.1,60
16,71,Simplify Path,Medium,"['String', 'Stack']","['Facebook', 'Google', 'Amazon', 'Microsoft']",20,34.9,80
16,5,Longest Palindromic Substring,Medium,"['String', 'Dynamic Programming']","['Amazon', 'Microsoft', 'Facebook', 'Adobe', 'eBay', 'Google', 'Oracle', 'Goldman Sachs', 'Yandex']",20,30.6,100
16,91,Decode Ways,Medium,"['String', 'Dynamic Programming']","['Facebook', 'Google', 'Cisco', 'Amazon', 'Microsoft', 'Goldman Sachs', 'ByteDance', 'Apple', 'Uber', 'Adobe']",20,26.9,120
