day,id,title,difficulty,topics,companies,estimated_time,acceptance_rate,cumulative_time
13,709,To Lower Case,Easy,['String'],"['Google', 'Adobe', 'Apple']",10,80.2,110
13,344,Reverse String,Easy,"['Two Pointers', 'String']","['Apple', 'Microsoft', 'Goldman Sachs', 'Amazon', 'Adobe', 'Bloomberg']",10,70.7,120
14,1065,Index Pairs of a String,Easy,"['String', 'Trie']",['Amazon'],10,61.0,10
14,521,Longest Uncommon Subsequence I,Easy,"['String', 'Brainteaser']",['Google'],10,59.1,20
14,387,First Unique Character in a String,Easy,"['Hash Table', 'String']","['Bloomberg', 'Goldman Sachs', 'Amazon', 'Facebook', 'Microsoft', 'Google', 'Apple', 'Adobe']",10,53.9,30
14,415,Add Strings,Easy,['String'],"['Facebook', 'Adobe', 'Google', 'Microsoft', 'Uber', 'Bloomberg', 'Amazon', 'Oracle']",10,48.5,40
14,345,Reverse Vowels of a String,Easy,"['Two Pointers', 'String']","['Facebook', 'Google', 'Amazon']",10,45.2,50
14,20,Valid Parentheses,Easy,"['String', 'Stack']","['Amazon', 'Bloomberg', 'Facebook', 'Apple', 'Microsoft', 'Expedia', 'Google', 'LinkedIn', 'Goldman Sachs', 'Oracle', 'Paypal', 'eBay', 'Adobe']",10,40.0,60
14,125,Valid Palindrome,Easy,"['Two Pointers', 'String']","['Facebook', 'Microsoft', 'Apple', 'Amazon', 'Yandex', 'Bloomberg', 'Oracle']",10,38.5,70
14,14,Longest Common Prefix,Easy,['String'],"['Facebook', 'Adobe', 'Amazon', 'Apple', 'Bloomberg', 'Microsoft', 'Google']",10,36.2,80
14,28,Implement strStr(),Easy,"['Two Pointers', 'String']","['Facebook', 'Apple', 'Amazon']",10,35.3,90
14,22,Generate Parentheses,Medium,"['String', 'Backtracking']","['Microsoft', 'Facebook', 'Google', 'Bloomberg', 'Amazon', 'Apple', 'Adobe', 'ByteDance', 'Oracle']",20,65.7,110
15,1249,Minimum Remove to Make Valid Parentheses,Medium,"['String', 'Stack']","['Facebook', 'ByteDance', 'Bloomberg', 'Amazon', 'Goldman Sachs', 'LinkedIn', 'Apple']",20,64.2,20
15,647,Palindromic Substrings,Medium,"['String', 'Dynamic Programming']","['Facebook', 'Goldman Sachs', 'Expedia', 'Google', 'Twitter', 'Microsoft', 'Bloomberg']",20,62.7,40
15,49,Group Anagrams,Medium,"['Hash Table', 'String']","['Amazon', 'Microsoft', 'Goldman Sachs', 'Apple', 'Uber', 'eBay', 'VMware', 'Oracle', 'Yandex', 'Expedia', 'Facebook', 'Google', 'Bloomberg', 'Cisco', 'ByteDance']",20,59.7,60
15,767,Reorganize String,Medium,"['String', 'Heap', 'Greedy', 'Sort']","['Amazon', 'Google', 'Facebook', 'Microsoft', 'Uber', 'Goldman Sachs']",20,50.3,80
15,38,Count and Say,Medium,['String'],"['Bloomberg', 'Facebook', 'Amazon', 'Microsoft', 'Apple']",20,46.3,100
15,443,String Compression,Medium,['String'],"['Goldman Sachs', 'Yandex', 'Microsoft', 'Apple', 'Facebook', 'Amazon', 'eBay', 'Google', 'VMware', 'Cisco']",20,44.1,120
16,227,Basic Calculator II,Medium,"['String', 'Stack']","['Amazon', 'Facebook', 'Microsoft', 'Snapchat', 'Uber']",20,38.8,20
16,71,Simplify Path,Medium,"['String', 'Stack']","['Facebook', 'Google', 'Amazon', 'Microsoft']",20,34.9,40
16,161,One Edit Distance,Medium,['String'],"['Apple', 'Facebook', 'Amazon', 'Yandex']",20,33.2,60
16,686,Repeated String Match,Medium,['String'],"['Google', 'Facebook', 'Amazon']",20,32.9,80
16,3,Longest Substring Without Repeating Characters,Medium,"['Hash Table', 'Two Pointers', 'String', 'Sliding Window']","['Amazon', 'Bloomberg', 'Microsoft', 'Facebook', 'Apple', 'Adobe', 'eBay', 'Goldman Sachs', 'Google', 'VMware', 'Oracle', 'ByteDance', 'Uber']",20,31.5,100
16,165,Compare Version Numbers,Medium,['String'],"['Amazon', 'Google', 'Microsoft', 'ByteDance']",20,30.6,120
17,5,Longest Palindromic Substring,Medium,"['String', 'Dynamic Programming']","['Amazon', 'Microsoft', 'Facebook', 'Adobe', 'eBay', 'Google', 'Oracle', 'Goldman Sachs', 'Yandex']",20,30.6,20
17,91,Decode Ways,Medium,"['String', 'Dynamic Programming']","['Facebook', 'Google', 'Cisco', 'Amazon', 'Microsoft', 'Goldman Sachs', 'ByteDance', 'Apple', 'Uber', 'Adobe']",20,26.9,40
17,1474,Delete N Nodes After M Nodes of a Linked List,Easy,['Linked List'],['Microsoft'],10,73.9,50
17,876,Middle of the Linked List,Easy,['Linked List'],['Microsoft'],10,69.2,60
17,206,Reverse Linked List,Easy,['Linked List'],"['Adobe', 'Amazon', 'Facebook', 'Apple', 'Microsoft', 'Yandex', 'Google', 'Uber', 'Oracle', 'Bloomberg', 'Cisco', 'Goldman Sachs', 'ByteDance']",10,65.7,70
17,83,Remove Duplicates from Sorted List,Easy,['Linked List'],"['Amazon', 'Adobe', 'Goldman Sachs']",10,46.7,80
17,160,Intersection of Two Linked Lists,Easy,['Linked List'],"['Microsoft', 'Amazon', 'Facebook', 'Apple', 'ByteDance', 'Paypal', 'LinkedIn']",10,44.5,90
17,141,Linked List Cycle,Easy,"['Linked List', 'Two Pointers']","['Microsoft', 'Apple', 'Amazon', 'Goldman Sachs', 'Facebook', 'Google']",10,43.1,100
17,234,Palindrome Linked List,Easy,"['Linked List', 'Two Pointers']","['Microsoft', 'Facebook', 'Amazon', 'Adobe', 'Google', 'Oracle', 'Bloomberg', 'Uber', 'Snapchat']",10,41.9,110
17,203,Remove Linked List Elements,Easy,['Linked List'],"['Facebook', 'Amazon', 'Google', 'Microsoft', 'Apple']",10,39.5,120
18,426,Convert Binary Search Tree to Sorted Doubly Linked List,Medium,"['Linked List', 'Divide and Conquer', 'Tree']","['Facebook', 'Microsoft', 'Google', 'VMware', 'Amazon', 'Expedia']",20,61.6,20
18,445,Add Two Numbers II,Medium,['Linked List'],"['Microsoft', 'Amazon', 'Bloomberg', 'Facebook', 'Apple', 'Adobe', 'Uber', 'ByteDance']",20,56.5,40
18,86,Partition List,Medium,"['Linked List', 'Two Pointers']","['Microsoft', 'Amazon', 'Apple', 'Bloomberg', 'Facebook']",20,43.7,60
18,138,Copy List with Random Pointer,Medium,"['Hash Table', 'Linked List']","['Amazon', 'Facebook', 'Microsoft', 'Bloomberg', 'eBay', 'Oracle', 'Qualtrics']",20,41.4,80
18,19,Remove Nth Node From End of List,Medium,"['Linked List', 'Two Pointers']","['Facebook', 'Amazon', 'Microsoft', 'Bloomberg', 'Apple']",20,35.9,100
18,771,Jewels and Stones,Easy,['Hash Table'],['Apple'],10,87.0,110
18,760,Find Anagram Mappings,Easy,['Hash Table'],['Google'],10,81.9,120
19,1213,Intersection of Three Sorted Arrays,Easy,"['Hash Table', 'Two Pointers']",['Facebook'],10,79.4,10
19,961,N-Repeated Element in Size 2N Array,Easy,['Hash Table'],['Apple'],10,74.6,20
19,1207,Unique Number of Occurrences,Easy,['Hash Table'],['Apple'],10,71.9,30
19,463,Island Perimeter,Easy,['Hash Table'],['Facebook'],10,66.8,40
19,136,Single Number,Easy,"['Hash Table', 'Bit Manipulation']","['Google', 'Amazon', 'Facebook', 'Microsoft']",10,66.7,50
19,349,Intersection of Two Arrays,Easy,"['Hash Table', 'Two Pointers', 'Binary Search', 'Sort']","['Facebook', 'Amazon', 'Bloomberg', 'ByteDance', 'Apple']",10,65.3,60
19,1078,Occurrences After Bigram,Easy,['Hash Table'],['Google'],10,65.0,70
19,884,Uncommon Words from Two Sentences,Easy,['Hash Table'],"['Amazon', 'Facebook']",10,64.2,80
19,266,Palindrome Permutation,Easy,['Hash Table'],"['Facebook', 'Microsoft']",10,62.7,90
19,690,Employee Importance,Easy,"['Hash Table', 'Depth-first Search', 'Breadth-first Search']","['Google', 'Microsoft']",10,59.0,100
19,242,Valid Anagram,Easy,"['Hash Table', 'Sort']","['Bloomberg', 'Facebook', 'Microsoft', 'Amazon', 'Apple', 'Oracle', 'Google', 'Goldman Sachs', 'Adobe', 'Cisco', 'Paypal']",10,58.9,110
19,389,Find the Difference,Easy,"['Hash Table', 'Bit Manipulation']","['Google', 'Amazon']",10,57.9,120
20,748,Shortest Completing Word,Easy,['Hash Table'],['Google'],10,57.6,10
20,350,Intersection of Two Arrays II,Easy,"['Hash Table', 'Two Pointers', 'Binary Search', 'Sort']","['Amazon', 'Facebook', 'Oracle', 'Microsoft']",10,52.1,20
20,953,Verifying an Alien Dictionary,Easy,['Hash Table'],"['Facebook', 'Amazon']",10,51.8,30
20,594,Longest Harmonious Subsequence,Easy,['Hash Table'],['Apple'],10,51.3,40
20,720,Longest Word in Dictionary,Easy,"['Hash Table', 'Trie']","['Goldman Sachs', 'Facebook']",10,49.4,50
20,205,Isomorphic Strings,Easy,['Hash Table'],"['Amazon', 'Apple', 'Google']",10,40.6,60
20,94,Binary Tree Inorder Traversal,Medium,"['Hash Table', 'Stack', 'Tree']","['Microsoft', 'Facebook', 'Oracle', 'Amazon', 'Google']",20,66.3,80
20,739,Daily Temperatures,Medium,"['Hash Table', 'Stack']","['Facebook', 'Bloomberg', 'Amazon', 'ByteDance', 'Google', 'Adobe', 'Microsoft', 'Paypal', 'Oracle', 'Twitter']",20,64.8,100
20,347,Top K Frequent Elements,Medium,"['Hash Table', 'Heap']","['Facebook', 'Amazon', 'Oracle', 'Apple', 'Bloomberg', 'Google', 'ByteDance', 'Microsoft', 'eBay']",20,62.6,120
21,981,Time Based Key-Value Store,Medium,"['Hash Table', 'Binary Search']","['Oracle', 'ByteDance', 'Uber', 'Apple', 'Google', 'Microsoft', 'Twitter']",20,54.2,20
21,692,Top K Frequent Words,Medium,"['Hash Table', 'Heap', 'Trie']","['Amazon', 'Bloomberg', 'Google', 'Facebook', 'Apple', 'Oracle', 'Microsoft']",20,53.3,40
21,438,Find All Anagrams in a String,Medium,['Hash Table'],"['Facebook', 'Amazon', 'Bloomberg', 'Microsoft', 'Snapchat', 'Apple']",20,45.2,60
21,844,Backspace String Compare,Easy,"['Two Pointers', 'Stack']","['Facebook', 'Google', 'Amazon', 'Oracle']",10,47.2,70
21,986,Interval List Intersections,Medium,['Two Pointers'],"['Facebook', 'Uber', 'Apple', 'Google', 'Amazon', 'Bloomberg']",20,68.5,90
21,704,Binary Search,Easy,['Binary Search'],"['Microsoft', 'Facebook', 'Amazon']",10,54.3,100
21,230,Kth Smallest Element in a BST,Medium,"['Binary Search', 'Tree']","['Amazon', 'Facebook', 'Adobe', 'Microsoft', 'Oracle']",20,62.9,120
22,378,Kth Smallest Element in a Sorted Matrix,Medium,"['Binary Search', 'Heap']","['Facebook', 'Google', 'Amazon']",20,56.4,20
22,240,Search a 2D Matrix II,Medium,"['Binary Search', 'Divide and Conquer']","['Amazon', 'ByteDance', 'Microsoft', 'Bloomberg', 'Facebook']",20,45.3,40
22,300,Longest Increasing Subsequence,Medium,"['Binary Search', 'Dynamic Programming']","['Apple', 'Amazon', 'Facebook', 'Bloomberg', 'Google', 'ByteDance', 'Twitter', 'Microsoft']",20,44.5,60
22,658,Find K Closest Elements,Medium,['Binary Search'],"['Facebook', 'Microsoft', 'Google', 'Paypal']",20,42.2,80
